//DATASET,
//created,Sun, 21 Feb 2021 13:11:08 GMT

//TRACE,Optical Spectrum,Input 1 (Run 1) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.3836
191.8095,192.0094,-57.5973
192.0094,192.2092,-56.992
192.2092,192.4091,-56.6335
192.4091,192.6089,-56.5457
192.6089,192.8088,-56.6889
192.8088,193.0086,-56.9516
193.0086,193.2084,-57.172
193.2084,193.4083,-57.1909
193.4083,193.6081,-56.927
193.6081,193.808,-56.437
193.808,194.0078,-55.9139
194.0078,194.2077,-55.6033
194.2077,194.4075,-55.656
194.4075,194.6073,-55.9947
194.6073,194.8072,-56.2784
194.8072,195.007,-56.0243
195.007,195.2069,-54.8661
195.2069,195.4067,-52.7646
195.4067,195.6066,-50.1515
195.6066,195.8064,-47.7908
195.8064,196.0062,-46.4792
196.0062,196.2061,-46.7091

//Parameterized
#Frequency,Power
#(THz),(dBm)
192,2.6592
192.1,2.9233
192.3,3.2629
192.4,3.3312
192.5,3.3335
192.6,3.2759
192.8,3.0333
192.9,2.8831
193.2,2.5697
193.5,2.7985
193.7,3.256
193.9,3.7575
194,3.9453
194.3,3.9922
194.5,3.6307
194.6,3.4345
194.7,3.3041
194.8,3.3044
195,3.9104
195.2,5.4964
195.3,6.6189
195.5,9.2016
195.7,11.5671

//TRACE,Optical Spectrum,Input 1 (Run 2) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-59.4326
191.8095,192.0094,-58.7215
192.0094,192.2092,-58.1849
192.2092,192.4091,-57.8861
192.4091,192.6089,-57.8483
192.6089,192.8088,-58.0335
192.8088,193.0086,-58.3344
193.0086,193.2084,-58.5941
193.2084,193.4083,-58.6578
193.4083,193.6081,-58.4455
193.6081,193.808,-58.0113
193.808,194.0078,-57.5428
194.0078,194.2077,-57.2802
194.2077,194.4075,-57.3744
194.4075,194.6073,-57.7572
194.6073,194.8072,-58.105
194.8072,195.007,-57.9527
195.007,195.2069,-56.942
195.2069,195.4067,-55.0285
195.4067,195.6066,-52.6152
195.6066,195.8064,-50.4226
195.8064,196.0062,-49.2033
196.0062,196.2061,-49.423

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.1,1.7469
192.3,2.026
195,1.9376
195.7,8.9442

//TRACE,Optical Spectrum,Input 1 (Run 3) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-57.4855
191.8095,192.0094,-56.6345
192.0094,192.2092,-55.9702
192.2092,192.4091,-55.5605
192.4091,192.6089,-55.4299
192.6089,192.8088,-55.5373
192.8088,193.0086,-55.7676
193.0086,193.2084,-55.9546
193.2084,193.4083,-55.9353
193.4083,193.6081,-55.6272
193.6081,193.808,-55.0891
193.808,194.0078,-54.5189
194.0078,194.2077,-54.167
194.2077,194.4075,-54.1845
194.4075,194.6073,-54.4857
194.6073,194.8072,-54.7151
194.8072,195.007,-54.3739
195.007,195.2069,-53.0884
195.2069,195.4067,-50.8241
195.4067,195.6066,-48.0381
195.6066,195.8064,-45.5323
195.8064,196.0062,-44.141
196.0062,196.2061,-44.3799

//Parameterized
#Frequency,Power
#(THz),(dBm)
192.5,4.4388
192.9,4.0556
193,3.93
193.2,3.7926
193.3,3.8162
193.5,4.0854
193.6,4.3184
193.9,5.1414
194,5.3512
194.1,5.4823
194.4,5.3104
195,5.6047
195.2,7.3391

//TRACE,Optical Spectrum,Input 1 (Run 4) 
//NoiseBins
#LowerFrequency,UpperFrequency,Power
#(THz),(THz),(dBm)
191.6097,191.8095,-58.5695
191.8095,192.0094,-57.7966
192.0094,192.2092,-57.2035
192.2092,192.4091,-56.8556
192.4091,192.6089,-56.7766
192.6089,192.8088,-56.9272
192.8088,193.0086,-57.1967
193.0086,193.2084,-57.424
193.2084,193.4083,-57.4508
193.4083,193.6081,-57.1961
193.6081,193.808,-56.716
193.808,194.0078,-56.2026
194.0078,194.2077,-55.9005
194.2077,194.4075,-55.9606
194.4075,194.6073,-56.307
194.6073,194.8072,-56.602
194.8072,195.007,-56.366
195.007,195.2069,-55.234
195.2069,195.4067,-53.166
195.4067,195.6066,-50.5885
195.6066,195.8064,-48.2577
195.8064,196.0062,-46.9625
196.0062,196.2061,-47.1906

//Parameterized
#Frequency,Power
#(THz),(dBm)
191.6,0.9969
191.7,1.4056
191.8,1.7921
191.9,2.1459
192,2.4564
192.1,2.7145
192.3,3.0434
192.4,3.107
192.5,3.1051
192.6,3.0436
192.7,2.9351
192.8,2.7942
192.9,2.6408
193,2.4961
193.1,2.3815
193.3,2.3168
193.4,2.3899
193.5,2.5325
193.6,2.7363
193.7,2.9799
193.8,3.236
193.9,3.4715
194,3.6548
194.1,3.7617
194.2,3.7732
194.4,3.5266
194.5,3.3213
194.7,2.9838
194.8,2.9763
194.9,3.1552
195,3.5603
195.1,4.2135
195.2,5.1155
195.3,6.2203
195.4,7.4679
195.5,8.7667
195.6,10.0139
195.7,11.1016
195.8,11.9298

//TRACE,Optical Spectrum,Input 1 (Run 5) 
//NoiseBins
